YEAR,AREA,BD,PROD,DEPTO
2009,Agricultural Sciences,SCIELO,161,Bogotá
2009,Agricultural Sciences,SCOPUS,372,Bogotá
2009,Agricultural Sciences,WOS,271,Bogotá
2009,Agricultural Sciences,SCOPUS,4,Bolívar
2009,Agricultural Sciences,WOS,4,Bolívar
2009,Agricultural Sciences,SCIELO,14,Boyacá
2009,Agricultural Sciences,SCOPUS,14,Boyacá
2009,Agricultural Sciences,WOS,7,Boyacá
2009,Agricultural Sciences,SCIELO,15,Caldas
2009,Agricultural Sciences,SCOPUS,29,Caldas
2009,Agricultural Sciences,WOS,24,Caldas
2009,Agricultural Sciences,SCOPUS,7,Caquetá
2009,Agricultural Sciences,WOS,5,Caquetá
2009,Agricultural Sciences,SCIELO,14,Cauca
2009,Agricultural Sciences,SCOPUS,2,Cauca
2009,Agricultural Sciences,WOS,1,Cauca
2009,Agricultural Sciences,SCIELO,3,Cesar
2009,Agricultural Sciences,SCOPUS,1,Cesar
2009,Agricultural Sciences,SCIELO,5,Córdoba
2009,Agricultural Sciences,SCOPUS,39,Córdoba
2009,Agricultural Sciences,WOS,25,Córdoba
2009,Agricultural Sciences,SCIELO,13,Cundinamarca
2009,Agricultural Sciences,SCOPUS,19,Cundinamarca
2009,Agricultural Sciences,WOS,16,Cundinamarca
2009,Agricultural Sciences,SCIELO,1,Chocó
2009,Agricultural Sciences,SCOPUS,4,Chocó
2009,Agricultural Sciences,WOS,3,Chocó
2009,Agricultural Sciences,SCIELO,3,Huila
2009,Agricultural Sciences,SCOPUS,2,Huila
2009,Agricultural Sciences,SCIELO,3,Magdalena
2009,Agricultural Sciences,SCOPUS,19,Magdalena
2009,Agricultural Sciences,WOS,16,Magdalena
2009,Agricultural Sciences,SCIELO,39,Antioquia
2009,Agricultural Sciences,SCOPUS,146,Antioquia
2009,Agricultural Sciences,WOS,115,Antioquia
2009,Agricultural Sciences,SCIELO,7,Meta
2009,Agricultural Sciences,SCOPUS,6,Meta
2009,Agricultural Sciences,WOS,8,Meta
2009,Agricultural Sciences,SCIELO,6,Nariño
2009,Agricultural Sciences,SCOPUS,10,Nariño
2009,Agricultural Sciences,WOS,7,Nariño
2009,Agricultural Sciences,SCIELO,1,Norte de Santander
2009,Agricultural Sciences,SCOPUS,3,Norte de Santander
2009,Agricultural Sciences,WOS,1,Norte de Santander
2009,Agricultural Sciences,SCIELO,5,Quindío
2009,Agricultural Sciences,SCOPUS,27,Quindío
2009,Agricultural Sciences,WOS,21,Quindío
2009,Agricultural Sciences,SCIELO,2,Risaralda
2009,Agricultural Sciences,SCOPUS,5,Risaralda
2009,Agricultural Sciences,WOS,4,Risaralda
2009,Agricultural Sciences,SCIELO,4,Santander
2009,Agricultural Sciences,SCOPUS,36,Santander
2009,Agricultural Sciences,WOS,19,Santander
2009,Agricultural Sciences,SCIELO,4,Sucre
2009,Agricultural Sciences,SCOPUS,13,Sucre
2009,Agricultural Sciences,WOS,6,Sucre
2009,Agricultural Sciences,SCIELO,6,Tolima
2009,Agricultural Sciences,SCOPUS,18,Tolima
2009,Agricultural Sciences,WOS,14,Tolima
2009,Agricultural Sciences,SCIELO,26,Valle del Cauca
2009,Agricultural Sciences,SCOPUS,119,Valle del Cauca
2009,Agricultural Sciences,WOS,94,Valle del Cauca
2009,Agricultural Sciences,SCIELO,2,Atlántico
2009,Agricultural Sciences,SCOPUS,13,Atlántico
